"syst","gen_sp","site","abund","ef","study"
"PA","Elateriospermum_tapos","VG-PSH-2",5,9679.21660031748,"TEAM"
"PA","Elateriospermum_tapos","VG-PSH-4",2,87.9315826016027,"TEAM"
"PA","Elateriospermum_tapos","VG-PSH-5",31,23409.7337606785,"TEAM"
"PA","Elateriospermum_tapos","VG-PSH-6",12,2391.01990213262,"TEAM"
"PA","Endiandra_kingiana","VG-PSH-3",1,62.0652155961275,"TEAM"
"PA","Endiandra_praeclara","VG-PSH-3",1,295.767405004942,"TEAM"
"PA","Endiandra_praeclara","VG-PSH-5",2,928.026165377658,"TEAM"
"PA","Endiandra_wrayi","VG-PSH-5",1,221.870202613423,"TEAM"
"PA","Endospermum_diadenum","VG-PSH-2",16,4618.85585226852,"TEAM"
"PA","Endospermum_diadenum","VG-PSH-4",13,2976.94286230458,"TEAM"
"PA","Endospermum_diadenum","VG-PSH-5",3,443.94385164622,"TEAM"
"PA","Endospermum_diadenum","VG-PSH-6",1,26.9445081662163,"TEAM"
"PA","Enicosanthum_fuscum","VG-PSH-2",2,353.026296707286,"TEAM"
"PA","Enicosanthum_fuscum","VG-PSH-3",3,1425.44231309321,"TEAM"
"PA","Eurya_acuminata","VG-PSH-6",23,1083.64578744168,"TEAM"
"PA","Fagraea_gigantea","VG-PSH-5",3,1014.65566159903,"TEAM"
"PA","Fagraea_racemosa","VG-PSH-1",1,43.6688272743248,"TEAM"
"PA","Ficus_fulva","VG-PSH-6",3,168.874096307111,"TEAM"
"PA","Ficus_glandulifera","VG-PSH-3",10,15198.6632445216,"TEAM"
"PA","Ficus_laevis","VG-PSH-3",7,8939.21379369647,"TEAM"
"PA","Ficus_oligodon","VG-PSH-3",1,108.141082267668,"TEAM"
"PA","Ficus_sundaica","VG-PSH-1",1,43.978858570337,"TEAM"
"PA","Ficus_variegata","VG-PSH-2",2,215.248661898856,"TEAM"
"PA","Flacourtia_rukam","VG-PSH-1",2,71.6463005874999,"TEAM"
