"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"805","Annonaceae","Oxandra","longipetala",11,1.3,2010.01,92.1,96.9,"VG-BCI-3","Oxandra_longipetala","2010",0.747857142857143,64.3239537813204,32.1619768906602
"806","Apocynaceae","Malouetia","isthmica",21.5,1.3,2010.01,91.1,82.9,"VG-BCI-3","Malouetia_isthmica","2010",0.526666666666667,266.922623887745,133.461311943872
"807","Bignoniaceae","Tabebuia","guayacan",64.1,1.3,2010.01,92.4,81.1,"VG-BCI-3","Tabebuia_guayacan","2010",0.7562625,6110.03965630405,3055.01982815202
"808","Moraceae","Perebea","xanthochyma",20.4,1.3,2010.01,96.5,83.4,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,215.375785194068,107.687892597034
"809","Arecaceae","Socratea","exorrhiza",11.6,3,2010.01,98.8,82,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,22.7796877150886,11.3898438575443
"810","Myristicaceae","Virola","sebifera",17.8,1.3,2010.01,22.8,44,"VG-BCI-3","Virola_sebifera","2010",0.473015873015873,145.793069601407,72.8965348007034
"811","Moraceae","Perebea","xanthochyma",10.6,1.3,2010.01,21.4,45.7,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,38.0278950280981,19.0139475140491
"812","Anacardiaceae","Tapirira","guianensis",51.8,1.3,2010.01,20.4,48.1,"VG-BCI-3","Tapirira_guianensis","2010",0.438777777777778,2107.61830617549,1053.80915308774
"813","Moraceae","Perebea","xanthochyma",17.4,1.3,2010.01,21.3,48.6,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,141.597156833894,70.7985784169469
"814","Arecaceae","Socratea","exorrhiza",14.4,3,2010.01,23.7,48,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,40.4454546827133,20.2227273413566
"815","Clusiaceae","Garcinia","madruno",17.8,1.3,2010.01,23.8,52.8,"VG-BCI-3","Garcinia_madruno","2010",0.734594594594595,226.416927989546,113.208463994773
"816","Moraceae","Perebea","xanthochyma",14,1.3,2010.01,20.2,58.4,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,79.607763163057,39.8038815815285
"817","Apocynaceae","Aspidosperma","spruceanum",47.1,1.3,2010.01,24.6,59.9,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,2837.05786213795,1418.52893106897
"818","Annonaceae","Xylopia","macrantha",10.5,1.3,2010.01,23.4,57.4,"VG-BCI-3","Xylopia_macrantha","2010",0.593959183673469,45.1498224087426,22.5749112043713
