"","CAN","CEM","FOS","LAV","LAW","OLD","QUA","ROO","ROY","WES","ZIO","HIL","HOL","JUN","MOU","AMW","BAR","BUC","EVE","PRK","US2","CAR","HOM","VAN"
"Lasioglossum_smilacinae",0,0,0,0,0,0,0.00707792207792208,0,0,0,0.0058982683982684,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_subviridatum",0.00588785046728972,0,0,0.00588785046728972,0,0.0235514018691589,0.00588785046728972,0,0.00588785046728972,0,0,0,0.00588785046728972,0,0.0117757009345794,0.00490654205607477,0,0,0.00588785046728972,0,0,0,0,0
"Lasioglossum_taylorae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490654205607477,0,0,0,0,0,0,0,0
"Lasioglossum_tegulare",0.00588785046728972,0.00588785046728972,0.00588785046728972,0,0,0,0.0117757009345794,0,0,0.00588785046728972,0,0,0,0,0.00588785046728972,0,0.00588785046728972,0.0117757009345794,0,0,0,0,0.00588785046728972,0
"Lasioglossum_trigeminum",0,0,0,0,0,0.0117757009345794,0,0,0,0,0,0,0,0,0,0,0,0.0176635514018692,0,0.00588785046728972,0,0.00490654205607477,0,0
"Lasioglossum_versatum",0.0566233766233766,0,0.0141558441558442,0.0637012987012987,0.0353896103896104,0.0778571428571429,0.0707792207792208,0.0283116883116883,0.0212337662337662,0.0707792207792208,0.0530844155844156,0.0176948051948052,0.00707792207792208,0.00707792207792208,0.0212337662337662,0.029491341991342,0.0566233766233766,0.0424675324675325,0.0212337662337662,0,0.0141558441558442,0.0471861471861472,0,0.00707792207792208
"Lasioglossum_viridatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490654205607477,0,0.00588785046728972,0,0,0,0,0,0
"Lasioglossum_weemsi",0,0,0.0235514018691589,0,0,0.0117757009345794,0.0117757009345794,0.00588785046728972,0,0,0,0.00490654205607477,0,0,0,0.0245327102803738,0,0,0,0,0,0,0,0.00588785046728972
"Lasioglossum_zonulum",0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_mendica",0,0.00795566502463054,0,0,0,0.00795566502463054,0,0,0,0,0.00662972085385878,0,0,0.00795566502463054,0,0,0,0,0,0,0,0,0,0
"Megachile_montivaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795566502463054,0,0,0,0,0,0,0
"Megachile_texana",0,0.00795566502463054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_atriventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0
"Osmia_bucephala",0,0,0,0,0,0,0.00707792207792208,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0.00707792207792208,0.0141558441558442,0,0,0
"Osmia_pumila",0,0,0,0.0212337662337662,0,0,0.0141558441558442,0,0.0141558441558442,0,0.0117965367965368,0,0,0,0.0424675324675325,0,0,0,0.00707792207792208,0.0141558441558442,0,0,0,0
"Xylocopa_virginica",0,0,0,0,0,0,0.023558352402746,0,0.023558352402746,0,0,0,0,0,0.023558352402746,0,0,0,0,0,0,0,0,0
